crawl_type,business_entity,model,skill,source_url,page_url,page_title,text_sample,status,error_message,level1_url,level2_url,level3_url,supplier_url
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=4&time=preyear&region=深圳,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=4&time=preyear&region=深圳,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=7&region=其他,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=7&region=其他,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=7&region=其他&time=thisyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=7&region=其他&time=thisyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=7&time=thisyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=7&time=thisyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=7&time=thisyear&region=成都,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=7&time=thisyear&region=成都,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&months=7&time=thisyear&region=郑州,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&months=7&time=thisyear&region=郑州,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&months=7&time=yugao&region=广州,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&months=7&time=yugao&region=广州,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&months=7&time=yugao&region=杭州,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&months=7&time=yugao&region=杭州,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&region=上海&time=preyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&region=上海&time=preyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&region=广州&months=7&time=thisyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&region=广州&months=7&time=thisyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&region=重庆&months=7&time=thisyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&region=重庆&months=7&time=thisyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&region=重庆&months=7&time=yugao,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&region=重庆&months=7&time=yugao,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&region=重庆&time=yugao&months=7,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&region=重庆&time=yugao&months=7,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&time=yugao&months=7&region=上海,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&time=yugao&months=7&region=上海,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&time=yugao&months=7&region=武汉,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=1&time=yugao&months=7&region=武汉,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=2&region=长春&time=lishi&months=jinnianlishi&nianfen=2024,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=2&region=长春&time=lishi&months=jinnianlishi&nianfen=2024,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&page=2&time=lishi&months=jinnianlishi&nianfen=2024&region=沈阳,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&page=2&time=lishi&months=jinnianlishi&nianfen=2024&region=沈阳,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=北京&nianfen=2024&yuefen=2,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=北京&nianfen=2024&yuefen=2,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=广州&nianfen=2024&yuefen=2,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=广州&nianfen=2024&yuefen=2,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=广州&nianfen=2024&yuefen=2&time=thisyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=广州&nianfen=2024&yuefen=2&time=thisyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=广州&nianfen=2024&yuefen=3,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=广州&nianfen=2024&yuefen=3,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=广州&nianfen=2024&yuefen=3&months=7&time=thisyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=广州&nianfen=2024&yuefen=3&months=7&time=thisyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=成都&nianfen=2024&yuefen=1,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=成都&nianfen=2024&yuefen=1,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=成都&time=preyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=成都&time=preyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=成都&time=thisyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=成都&time=thisyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=成都&time=yugao&months=7,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=成都&time=yugao&months=7,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=杭州&nianfen=2024&yuefen=5,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=杭州&nianfen=2024&yuefen=5,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=武汉&nianfen=2024&time=thisyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=武汉&nianfen=2024&time=thisyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=武汉&time=lishi&months=jinnianlishi&nianfen=2024,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=武汉&time=lishi&months=jinnianlishi&nianfen=2024,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=武汉&time=yugao&months=7,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=武汉&time=yugao&months=7,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=深圳&nianfen=2024&yuefen=7,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=深圳&nianfen=2024&yuefen=7,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=郑州,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=郑州,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&region=郑州&time=nextyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&region=郑州&time=nextyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&time=lishi&months=jinnianlishi&nianfen=2024,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&time=lishi&months=jinnianlishi&nianfen=2024,,
